pH,Elevation
6.71,444.502045
7.07,367.818115
6.78,352.684326
6.82,431.404266
6.6,876.887207
6.43,806.326538
6.48,1133.36011
8.24,524.209839
6.28,1636.796875
6.56,1400.852417
6.37,1266.984375
6.44,1209.671997
6.67,718.657593
6.64,916.805237
6.63,655.070984
6.57,655.070984
6.74,1037.17041
6.338,1218.903198
6.55,1100.36743
6.98,558.949829
6.91,558.949829
6.69,558.949829
6.69,558.949829
6.68,785.433777
6.68,651.927673
6.66,651.927673
6.06,875.386108
6.73,749.786194
6.65,757.569885
6.46,444.502045
6.39,1218.903198
6.16,1100.36743
5.84,1266.984375
6.438,444.502045
6.14,1133.36011
6.23,876.887207
6.14,1133.36011
6.1,1218.903198
6.23,876.887207
6.1,1218.903198
6.413,1155.578857
5.86,1266.984375
5.91,1636.796875
6.93,524.209839
6.93,524.209839
6.98,524.209839
6.59,785.433777
6.653,749.786194
6.43,558.949829
6.54,665.322266
6.63,916.805237
6.42,916.805237
5.76,875.386108
6.387,1100.233154
6.435,1037.17041
6.46,1037.17041
6.19,1100.36743
6.53,757.569885
6.36,806.326538
6.36,806.326538
6.63,367.818115
6.325,352.684326
6.56,431.404266
6.33,806.326538
6.562,1155.578857
6.19,1133.36011
6.33,876.887207
6.3,876.887207
6.28,1218.903198
6.24,1100.36743
5.86,1266.984375
6.645,757.569885
6.33,1209.671997
7.411,524.209839
5.93,1636.796875
7.384,524.209839
6.46,1561.426514
6.5,665.322266
6.58,916.805237
6.526,718.657593
6.526,718.657593
6.557,655.070984
6.727,367.818115
6.36,352.684326
6.53,1037.17041
6.41,1100.233154
6.052,875.386108
5.906,875.386108
6.602,749.786194
6.566,785.433777
7.445,558.949829
6.833,352.684326
6.826,431.404266
6.971,367.818115
6.634,1100.233154
6.63,1100.233154
6.572,1155.578857
6.401,1218.903198
6.281,876.887207
6.292,876.887207
6.618,1561.426514
6.852,558.949829
5.882,1636.796875
6.109,1266.984375
6.738,916.805237
6.651,665.322266
5.91,875.386108
5.905,875.386108
5.942,651.927673
6.761,757.569885
6.716,757.569885
6.921,431.404266
6.986,367.818115
5.81,875.386108
6.501,1037.17041
6.218,875.386108
6.289,876.887207
6.209,876.887207
6.379,1218.903198
6.509,1100.233154
5.263,1636.796875
7.387,524.209839
6.647,757.569885
6.435,1561.426514
6.603,757.569885
6.59,558.949829
6.124,1266.984375
6.124,1266.984375
6.639,665.322266
6.613,916.805237
5.852,651.927673
6.935,431.404266
6.377,1100.36743
6.385,1133.36011
6.041,1400.852417
6.358,876.887207
6.424,876.887207
6.652,1218.903198
6.371,444.502045
6.206,1133.36011
6.176,876.887207
6.033,1100.36743
6.109,876.887207
6.174,1218.903198
6.592,367.818115
6.547,431.404266
6.457,352.684326
6.508,431.404266
6.336,757.569885
6.292,757.569885
6.181,444.502045
6.269,444.502045
5.634,1100.36743
5.827,876.887207
5.876,1133.36011
5.948,1218.903198
5.984,876.887207
5.622,1266.984375
5.677,1266.984375
6.232,1561.426514
